Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/myig.xml	7026	-	0	0	0	0	0	0	8	29	0	0	0	0	0	0	0	1	0	0	0	149	114	0	0	0	2	0	3
input/examples/exemplo_RIRA_attended.json	7683	3	18	0	2	0	0	0	1	299	0	0	0	0	0	0	0	0	0	0	0	30	34	0	0	0	0	0	0
input/examples/exemplo_RIRA_booked.json	7676	1	1	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	30	29	0	0	0	0	0	1
input/examples/exemplo_RIRA_cancelled.json	7597	1	1	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	24	29	0	0	0	0	0	0
input/examples/exemplo_RIRA_pending.json	8283	2	1	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	27	32	0	0	0	0	0	0
input/resources/CodeSystem-BRCBHPMTUSS.xml	10952306	1061	0	0	35	0	0	0	188	49477	0	0	31	0	0	0	0	43	0	0	0	16811	184706	0	0	0	584	0	19
input/resources/CodeSystem-BRCBO.xml	945748	77	1	0	1	0	0	0	23	276	0	0	0	0	0	0	0	3	0	0	0	878	1454	0	0	0	37	0	14
input/resources/CodeSystem-BRCID10.xml	1929894	137	0	0	3	0	0	0	38	1197	0	0	4	0	0	0	0	3	0	0	0	2707	6086	0	0	0	144	0	5
input/resources/CodeSystem-BRCategoriaDiagnostico.xml	864	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	23	27	0	0	0	1	0	0
input/resources/CodeSystem-BRJustificativaIndividuoNaoIdentificado.xml	1601	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	28	0	0	0	0	0	0
input/resources/CodeSystem-BRModalidadeAssistencial.xml	1632	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	24	0	0	0	0	0	0
input/resources/CodeSystem-BRStatusAgendamentoRegulacaoAssistencial.xml	1273	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	24	0	0	0	0	0	0
input/resources/CodeSystem-BRStatusRegulacaoAssistencial.xml	2052	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	24	0	0	0	1	0	0
input/resources/CodeSystem-BRTabelaSUS.xml	1678071	106	0	0	1	0	0	0	16	294	0	0	1	0	0	0	0	1	0	0	0	2608	1442	0	0	0	122	0	3
input/resources/CodeSystem-BRTipoDocumento.xml	2667	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	22	0	0	0	1	0	0
input/resources/CodeSystem-BRTipoParticipante.xml	1048	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	21	0	0	0	0	0	0
input/resources/StructureDefinition-BRAgendamentoRegulacaoAssistencial.json	354226	12	0	74	0	0	0	0	1	114	0	0	1	0	0	0	0	1	0	0	0	409	999	0	1	0	10	2	1
input/resources/StructureDefinition-BRCID10Avaliado-1.0.json	19221	1	0	27	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	265	588	0	1	0	8	0	1
input/resources/StructureDefinition-BRIndividuoNaoIdentificado-1.0.json	5135	1	0	3	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	59	240	0	0	0	2	0	1
input/resources/StructureDefinition-BRRegulacaoAssistencial.json	48084	2	0	105	0	0	0	0	0	104	0	0	1	0	0	0	0	2	0	0	0	1097	1432	0	1	0	33	0	2
input/resources/StructureDefinition-BRRequisicaoRegulacaoAssistencial.json	311303	9	0	30	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	358	531	0	0	0	10	0	1
input/resources/ValueSet-BRCID10-1.0.json	655	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	9	307	0	0	0	0	0	0
input/resources/ValueSet-BRCaraterAtendimentoMIRA.json	1121	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	40	0	0	0	0	0	0
input/resources/ValueSet-BRCategoriaDiagnostico.json	755	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	38	0	0	0	1	0	0
input/resources/ValueSet-BREstadoDocumento-1.0.json	1630	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	39	0	0	0	0	0	0
input/resources/ValueSet-BREstadoResolucaoDiagnosticoProblema-1.0.json	2250	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	37	0	0	0	0	0	0
input/resources/ValueSet-BRIntencaoRegulacao.json	2931	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	39	0	0	0	0	0	0
